Id,Predicted
60314,9234.549397659046
12566,11186.185004219551
17760,6866.971172520904
8876,839.2169898403788
80392,8105.724621122584
3007,26960.00961926436
65731,16156.461858762608
16183,2319.745076600912
3132,9978.422024359066
47554,3672.2962323505617
54851,5865.5398982407805
3080,18465.241626767045
24420,2932.5306344554474
44475,2187.3226421313634
68784,2576.3439624973735
33711,22152.600464840903
75110,7382.612709725099
71182,13067.320469781698
55890,2810.550858010966
11952,1563.3420898750726
24534,9433.526427611721
85054,1100.1930361092323
86563,25136.721107254598
52536,6532.922568796961
78896,4738.195395298257
27070,4534.234581387972
60693,1231.630662270688
51919,40257.7975023135
40590,24774.938958774
57513,14167.831900978785
72159,5619.53015077683
55459,14258.913607389024
14148,1327.7166096293936
52878,5782.350747714241
2188,1999.994745032128
24393,1651.716679691175
86231,467.9525900695649
44751,2279.8035313668356
95482,7296.797153336458
45462,4598.338168948358
74222,9688.838060362954
72465,9443.222965835042
31405,2806.0461835258734
77148,844.4945998970943
14001,7187.9099691650235
73530,4473.82694081543
78371,997.6590857321189
56486,1850.8181168389938
17397,8804.275346742355
34260,10284.04639140411
56216,1874.2168236882064
73107,843.8514329325516
57701,3925.2562890601075
95715,911.7769011887954
85151,3099.00512950642
88305,790.7413363689576
78944,5497.613592357527
15712,1040.6971309470669
10080,1209.208550589228
88091,15723.449552294676
52882,9189.35629674133
6240,5047.933383291691
37327,5603.11930898551
44400,7364.5761448403255
89907,3536.4995724683176
28692,2562.269978785633
54900,6955.91084824322
41944,1085.3479084264725
1488,15462.710437660986
32766,1247.6822297220017
23720,3595.2670902225586
11509,871.1558265638408
48616,18639.637325335487
44094,13827.3996628707
70727,28787.54235552031
64257,2502.885167851075
100,12628.770560720055
3176,5737.9138145871075
10253,5804.328528197675
37385,14613.931570992274
78439,4631.972584369387
67334,1614.4667838220623
44397,6066.936544285445
4814,2881.277889115654
75391,6801.741161096701
47885,3738.2226032116437
42747,747.9886219068709
15077,12986.777933901845
43115,1325.4528488688804
68882,739.5884340826664
11332,8353.33702618076
55877,1053.9657189798095
42072,999.0953845797935
80540,832.1471414487971
84212,9206.70077364517
77274,917.7809869142865
55881,4038.1890671399315
38599,6122.4155279553115
57359,3088.135028151382
52314,4437.221092356215
71010,1420.769320857334
59474,1005.5149436578788
45899,14338.42854059532
63254,2663.3598182030637
87833,582.9892768692838
33167,2857.6715725054964
25647,7924.252607586456
86953,12026.345291806098
12581,5964.3621396321805
18089,2413.372356048233
10579,7511.542001403392
51215,9419.329335425657
25845,11492.492391936848
76978,14705.227622257047
73755,13443.530426323916
32071,4930.233685168837
80090,9809.327838717545
9469,10908.549638259528
39327,1799.01056205431
99717,10421.367117540858
3104,2550.1580469390674
66827,3943.7905382951967
25151,8893.764005728266
48973,1431.6893542644505
16048,4532.48332479466
49307,2769.2170848707656
30166,2727.005402526475
39735,22530.20606261234
71612,13650.097130069451
95388,1554.6624948785484
15514,2943.3454610206654
89728,864.9206859354504
11714,3891.9196930152366
18020,22538.711581328018
32896,1425.2643834978553
10383,4926.02517400081
90868,5057.322608604207
50343,8044.063798450783
99945,2830.337339665063
61719,8780.041245859875
34365,2884.613300320127
3823,8115.567242770478
96371,11299.849426236384
43059,5391.381537371118
1600,2643.4679124270597
35300,25069.4460334177
8619,542.2636472025459
72934,999.0941571207876
72751,5921.391470857886
24464,2715.125949737632
16693,2750.1187813581514
65402,10228.876523672165
99188,3672.774000100692
49919,2594.590322906904
58505,2768.5417052507246
54794,9777.330545361587
91475,2018.1896111273795
90808,2045.2928672430207
12826,4562.642387065526
90821,1005.1794630833416
15178,965.2174151193582
83650,2427.7923486289583
30235,2436.0984175970675
76618,8124.399085620516
31219,2326.3889928045824
72367,1570.2101487878504
246,10815.962526704936
11654,18085.35333339417
16866,55033.99190351889
82336,1282.642101985069
51167,2480.840654941117
76560,7144.736641508024
28188,2322.082358236567
33180,781.3801552259641
55191,3999.4153470676274
8034,3632.1239836702684
73037,1137.4085559761354
43561,7765.087092603244
51969,28207.482329027192
76154,6546.427175565938
7970,1338.505626852886
59971,1331.7803017663703
92128,3254.541972031498
90892,3313.0843164934804
97423,6021.890111732135
46605,1367.601668885474
3577,4485.638043614348
53976,1088.692616236594
7442,1986.4680435445352
95454,12960.417602200741
62494,2356.3655775802263
47078,2553.672334576283
9165,2193.6239315993776
82323,1542.1866635983465
51148,2421.3072797591085
75721,11062.098556708825
37716,3653.831276844201
25124,1238.0466008769276
72667,8287.352640251363
99550,1333.5880671479295
98433,1116.6937707447737
43733,6847.185471285943
52232,5233.993782255036
25577,1558.1697331679748
54156,8042.844295538317
37246,19018.440999532322
47652,857.4490872527339
87423,2138.694162862489
70987,1160.593456685439
41565,9852.676957481583
78190,4334.183796784127
51472,4510.9291343087425
4859,767.0908798289988
36755,987.633407749942
56780,1397.6575317900308
53466,3156.181076444989
10671,1098.3598099247452
80630,11316.15628084437
30534,11425.054004052396
38463,6706.601762693283
96797,8470.161590031115
75613,6208.861149564519
67805,9133.436692803678
166,1510.6547545479582
50028,8374.773409736788
47506,9560.807214973527
34134,2490.729210576927
8766,72023.79718236602
17143,5046.988695311745
1638,7397.948313336482
65864,13665.431272284135
37787,12806.14279169683
30730,860.4218762872734
45563,10628.384522507626
46535,2487.4525762982644
62384,2469.340861227167
40082,10927.351453968844
45373,16057.287326438573
35082,1125.47006337582
14190,1347.2656341051306
97200,1196.8602238242884
83482,7125.920118198407
10276,3862.9765646368255
34499,545.8392102810606
55210,787.8891363729974
37968,907.0489831652194
20349,1309.1331575949885
26377,25610.146175776306
56522,854.0465556790604
84036,3580.818229267367
11181,2567.6975148667893
13674,1024.4303545435034
14135,3273.2258051147032
23663,15568.34234100013
32020,1117.7514621875716
4636,2137.9303274708263
65807,846.749116620479
